Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
24-03-2014,4780,4794.799805,4706,4721.299805,4186.030762,23639,0
25-03-2014,4722,4749.899902,4707,4720.100098,4184.965332,20849,0
26-03-2014,4755,4789,4710,4771.149902,4230.228516,38549,0
27-03-2014,4782,4925,4732.450195,4859.75,4308.785156,67652,0
28-03-2014,4900,4995,4845,4964.649902,4401.791504,47608,0
31-03-2014,4925,5070,4925,5028.75,4458.624512,52068,0
01-04-2014,5069,5070,4832.5,4847.850098,4298.233398,70637,0
02-04-2014,4899.950195,4910,4845.549805,4865.549805,4313.926758,53920,0
03-04-2014,4895,4909.950195,4839.850098,4885.700195,4331.792969,33789,0
04-04-2014,4875,4890,4825,4835.850098,4287.59375,29026,0
07-04-2014,4875,4952.600098,4825,4917.25,4359.766113,37955,0
09-04-2014,4900,4994.950195,4900,4929.649902,4370.757813,30700,0
10-04-2014,4913.649902,4984.299805,4838.5,4881.299805,4327.891602,49036,0
11-04-2014,4881,4894.100098,4825,4829.649902,4282.09668,19973,0
15-04-2014,4828.899902,4889.399902,4770,4833.799805,4285.774902,44856,0
16-04-2014,4849.799805,4859.649902,4770,4779.149902,4237.322754,13330,0
17-04-2014,4805,4805,4750.049805,4763.25,4223.223633,28832,0
21-04-2014,4800,4800,4717,4723.5,4187.982422,23459,0
22-04-2014,4728.649902,4755,4713,4722.75,4187.316895,23654,0
23-04-2014,4746,4760,4715,4728.950195,4192.813477,18229,0
24-04-2014,4728.950195,4728.950195,4728.950195,4728.950195,4192.813477,0,0
25-04-2014,4726,4796.700195,4726,4776.549805,4235.016602,26510,0
28-04-2014,4764,4796.049805,4700,4705.25,4171.800293,18005,0
29-04-2014,4705,4749.899902,4703.100098,4725.25,4189.533691,19585,0
30-04-2014,4705.299805,4780,4685,4768.799805,4228.14502,31905,0
02-05-2014,4755,4794.850098,4721,4733.75,4197.068359,8154,0
05-05-2014,4745,4775,4703.600098,4709.899902,4175.923828,77698,0
06-05-2014,4706,4759.850098,4670.100098,4686.549805,4155.222168,375624,0
07-05-2014,4709,4724.799805,4665.049805,4681.049805,4150.34375,40394,0
08-05-2014,4681.049805,4725,4681.049805,4698,4165.37207,308609,0
09-05-2014,4700,4795,4690.350098,4781.899902,4239.760254,90866,0
12-05-2014,4795,4848,4746.899902,4841.600098,4292.692383,37350,0
13-05-2014,4800.350098,4880,4800.350098,4873.5,4320.976563,50324,0
14-05-2014,4798.850098,4798.850098,4725.100098,4775.200195,4233.820313,255642,0
15-05-2014,4747,4774.950195,4680,4708.799805,4196.921387,26384,0
