Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,513,525,513,524.900024,429.704681,2300
2003-01-02,527.900024,528,521.200012,525.200012,429.950287,1600
2003-01-03,516.049988,527.950012,516.049988,526.450012,430.973663,5000
2003-01-06,528.5,536,526.200012,528.349976,432.529053,8800
2003-01-07,528,535,528,530.450012,434.248199,7600
2003-01-08,531.650024,538.950012,528.5,534.849976,437.850159,35200
2003-01-09,532.549988,537.950012,532.549988,536.450012,439.159973,4100
2003-01-10,530,545,529.5,543.400024,444.84967,11400
2003-01-13,548.400024,548.400024,541.5,543.049988,444.562927,13000
2003-01-14,546,548,537.099976,538.450012,440.797302,10400
2003-01-15,542,544,535.900024,542.599976,444.194641,8000
2003-01-16,539.5,542,535,536.849976,439.487549,7800
2003-01-17,535.200012,544.950012,534,543,444.522034,18500
2003-01-20,540,540,534,536.549988,439.241821,9400
2003-01-21,538,539.950012,530,533.799988,436.990631,11500
2003-01-22,531,538,530.799988,535.75,438.586884,7400
2003-01-23,540,550,540,548.349976,448.901917,274600
2003-01-24,539.200012,545,538.25,540.049988,442.107147,11700
2003-01-27,544,554,531.150024,551,451.07132,20500
2003-01-28,557,568,541.349976,552.299988,452.135406,12000
2003-01-29,538,549,538,540.349976,442.352783,12900
2003-01-30,540.099976,547.900024,531.25,539.200012,441.411194,15800
2003-01-31,539.25,544.75,528.700012,539.599976,441.738739,5200
2003-02-03,539.599976,546,538,540.700012,442.639404,5900
2003-02-04,545,549.900024,535.25,536.349976,439.078125,12900
2003-02-05,546.950012,546.950012,531.25,533.5,436.745026,7300
2003-02-06,534.049988,537.700012,530,532.200012,435.680664,6700
2003-02-07,532.049988,535,532,532.200012,435.680664,3500
2003-02-10,529,533,529,529.799988,433.716034,11500
2003-02-11,544,544,525,525.299988,430.032166,9500
2003-02-12,521.299988,527,521.299988,524.799988,429.622772,7300
2003-02-13,524.799988,524.799988,524.799988,524.799988,429.622772,0
2003-02-14,525,531,522.549988,527.549988,431.874054,3800
2003-02-17,535.950012,535.950012,528,530.549988,434.330078,4200
2003-02-18,530.049988,535,530,533.150024,436.458466,6900
2003-02-19,533,542,529.400024,538.799988,441.083893,16300
2003-02-20,533.200012,539,533.200012,536.5,439.200928,2400
2003-02-21,537,540,532.5,538.75,441.042847,3900
2003-02-24,533.299988,539,533.299988,534.450012,437.522797,3900
2003-02-25,538.5,538.799988,528.049988,530.5,434.289032,9600
2003-02-26,526.049988,537.650024,526.049988,531.150024,434.821167,5400
2003-02-27,539,540,527.5,536.900024,439.528412,16400
2003-02-28,538.700012,545,531.150024,535.099976,438.054779,15400
2003-03-03,535,539.450012,532.200012,533.099976,436.417603,3600
2003-03-04,527.5,538.75,527.5,529.650024,433.593262,13200
2003-03-05,536,536,528.049988,530.150024,434.002594,8600
2003-03-06,536.5,536.5,522,523.25,428.353821,5900
2003-03-07,527.650024,535,523.049988,533.849976,437.031433,11400
2003-03-10,531,540,522.650024,529.450012,433.429443,16000
2003-03-11,527.150024,540,525.299988,530,433.879852,8300
2003-03-12,530,535,526.349976,531.049988,434.73938,5700
2003-03-13,527.599976,538,527.599976,536.849976,439.487549,8700
2003-03-14,536.849976,536.849976,536.849976,536.849976,439.487549,0
2003-03-17,537,540,531.599976,535.700012,438.546051,13700
2003-03-18,535.700012,535.700012,535.700012,535.700012,438.546051,0
2003-03-19,531,540,520,534,437.154266,26000
2003-03-20,534,534,526.099976,531.049988,434.73938,11100
2003-03-21,531.049988,531.049988,531.049988,531.049988,434.73938,0
2003-03-24,527.049988,527.049988,527.049988,527.049988,431.464691,0
2003-03-25,527.049988,527.049988,527.049988,527.049988,431.464691,0
